Dataset,Variable_1,Variable_2,Correlation
Coverage,TARGET_NUMBER,YEAR,-0.004187013849028447
Coverage,DOSES,YEAR,-0.1476655308100789
Coverage,DOSES,TARGET_NUMBER,0.0010336865351802881
Coverage,COVERAGE,YEAR,0.17565706997132308
Coverage,COVERAGE,TARGET_NUMBER,0.0007246591411726957
Coverage,COVERAGE,DOSES,0.03295770505902861
Incidence Rate,DENOMINATOR,YEAR,
Incidence Rate,DENOMINATOR,INCIDENCE_RATE,
Incidence Rate,INCIDENCE_RATE,YEAR,-0.1227336243778975
Reported Cases,CASES,YEAR,-0.042648638901363146
Vaccine Schedule,SCHEDULEROUNDS,YEAR,-0.013223857116389336
Vaccine Schedule,SCHEDULEROUNDS,TARGETPOP,
Vaccine Schedule,TARGETPOP,YEAR,
Vaccine Schedule,GEOAREA,YEAR,
Vaccine Schedule,GEOAREA,SCHEDULEROUNDS,
Vaccine Schedule,GEOAREA,TARGETPOP,
Vaccine Schedule,AGEADMINISTERED,YEAR,
Vaccine Schedule,AGEADMINISTERED,SCHEDULEROUNDS,
Vaccine Schedule,AGEADMINISTERED,TARGETPOP,
Vaccine Schedule,AGEADMINISTERED,GEOAREA,
