Dataset,Column,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
Coverage,YEAR,2002.0,2019.0,17.0,1976.5,2044.5,0,0.0
Coverage,TARGET_NUMBER,32814.0,2493048.0,2460234.0,-3657537.0,6183399.0,15840,20.043021637352904
Coverage,DOSES,14472.0,971232.5,956760.5,-1420668.75,2406373.25,14038,17.698155549111814
Coverage,COVERAGE,69.0,96.0,27.0,28.5,136.5,19388,8.602360457893337
Incidence Rate,YEAR,1994.0,2015.0,21.0,1962.5,2046.5,0,0.0
Incidence Rate,INCIDENCE_RATE,0.0,4.6,4.6,-6.8999999999999995,11.5,12034,19.540789815536503
Reported Cases,YEAR,1994.0,2015.0,21.0,1962.5,2046.5,0,0.0
Reported Cases,CASES,0.0,63.0,63.0,-94.5,157.5,12815,19.57385061860394
Vaccine Introduction,YEAR,1992.0,2015.0,23.0,1957.5,2049.5,3444,2.4898785425101213
Vaccine Schedule,YEAR,2023.0,2023.0,0.0,2023.0,2023.0,179,2.223050173869846
Vaccine Schedule,SCHEDULEROUNDS,1.0,3.0,2.0,-2.0,6.0,3,0.037257824143070044
