NAME,Average_Coverage,Records
Monaco,96.45953002610966,383
Hungary,96.09910656620022,929
Turkmenistan,95.49090551181102,1016
"occupied Palestinian territory, including east Jerusalem",95.3438622754491,668
Cuba,94.93586642599278,1108
Saint Kitts and Nevis,94.41616548940463,991
Slovakia,93.89379032258064,868
Albania,93.8614378554021,1231
Andorra,93.38637065637066,518
Tokelau,93.36183953033269,511
China,92.9795608531995,797
Poland,92.86792766373412,1023
Brunei Darussalam,92.8400193236715,1035
Tonga,92.75839059674503,1106
Czechia,92.59828267477204,658
Norway,92.27532367149759,1035
Saudi Arabia,91.97179712460064,1252
Oman,91.80108394458027,1227
Chile,91.70435918367346,1225
Russian Federation,91.65862232779097,842
