YEAR,AVERAGE_COVERAGE
1980,44.25082946250829
1981,46.11565762004176
1982,48.78359332974718
1983,52.86071428571429
1984,53.96949384404925
1985,56.147922912205566
1986,60.240540540540536
1987,63.739984258166075
1988,67.41313672922253
1989,70.74781132075472
1990,74.96706093189964
1991,74.36902872777019
1992,74.30285395408163
1993,75.09865960099751
1994,76.31975281602003
1995,78.17994674556212
1996,78.73474744437763
1997,78.51310344827586
1998,78.16445078031212
1999,78.75494189424754
2000,77.60608841099163
2001,76.78155889960027
2002,79.02073147256978
2003,80.65960367218987
2004,81.43548925516377
2005,82.52822512562814
2006,83.10029835802963
2007,83.07052310042002
2008,83.07857331571995
2009,83.71321461695419
2010,78.53450879522072
2011,78.70081037277147
2012,78.85541692119732
2013,78.66882970853676
2014,79.45061743846475
2015,79.56493670886076
2016,80.40418412620163
2017,80.54593627337798
2018,80.00868342365914
2019,79.5623906542056
2020,78.41779646603042
2021,77.19079637277787
2022,78.11010918937806
2023,78.67645773732119
