YEAR,AVERAGE_INCIDENCE_RATE
1980,836.0436654366544
1981,633.8731503579952
1982,588.0877790834313
1983,487.9625292740047
1984,435.61883720930234
1985,479.36863425925924
1986,272.41676300578035
1987,277.40645526613815
1988,204.0404921700224
1989,342.13853932584266
1990,196.13853711790392
1991,184.94233654876743
1992,195.34603691639524
1993,124.23661971830985
1994,103.0675310033822
1995,82.31875000000001
1996,81.78082340195016
1997,116.22065420560747
1998,78.98814589665653
1999,145.24377049180328
2000,71.41316129032258
2001,68.5262315270936
2002,50.570019467878
2003,71.82203076923076
2004,39.498911729141476
2005,41.65784431137724
2006,31.187558139534882
2007,30.35279269602578
2008,29.967464635473338
2009,30.709978425026968
2010,30.52793414763675
2011,23.60436187399031
2012,19.296126568466995
2013,15.144929178470255
2014,14.258808777429467
2015,24.72066265060241
2016,20.172491145218416
2017,16.175282106394413
2018,17.202430886558627
2019,43.074059003051886
2020,30.095721393034825
2021,36.75699658703072
2022,49.29659595461273
2023,81.22250740375122
