YEAR,TOTAL_CASES
1980,18295920.0
1981,18400813.0
1982,17054356.0
1983,15465282.0
1984,12728064.0
1985,12093687.0
1986,9252891.0
1987,7612200.0
1988,7096478.0
1989,7758531.0
1990,5722152.0
1991,5734850.0
1992,5487281.0
1993,4445527.0
1994,3920235.0
1995,2922557.0
1996,3211615.0
1997,3534823.0
1998,3195782.0
1999,7023804.0
2000,6951383.0
2001,6958816.0
2002,5714595.0
2003,4441745.0
2004,5272400.0
2005,4985960.0
2006,4310844.0
2007,3214979.0
2008,3542267.0
2009,3427803.0
2010,3682833.0
2011,4211199.0
2012,3803570.0
2013,3276454.0
2014,2525116.0
2015,2410565.0
2016,2857981.0
2017,2829120.0
2018,3320114.0
2019,4308600.0
2020,4374467.0
2021,6947015.0
2022,10816152.0
2023,17667763.0
